1135,Active,vevrard,Victor,Evrard,M,victor.evrard@novaryn-tech.com,2012-02-18,1240,1175,SR-CSM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1136,Active,xlenoir,Xavier,Lenoir,M,xavier.lenoir@novaryn-tech.com,2017-02-03,1194,1175,SR-ML-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1137,Active,vduval,Vincent,Duval,M,vincent.duval@novaryn-tech.com,2014-04-14,1007,1065,LEAD-AM-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1138,Active,jferreira,Julie,Ferreira,F,julie.ferreira@novaryn-tech.com,2013-10-27,1099,1161,SR-ADMIN-OP,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1139,Active,rmeyer,Robert,Meyer,M,robert.meyer@novaryn-tech.com,2016-08-19,1047,1161,LEAD-ADMIN-OP,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1140,Leave,gtexier,Guy,Texier,M,guy.texier@novaryn-tech.com,2015-08-01,1007,1161,LEAD-CTRL-FIN,Finance & Administration,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1141,Active,jmartins1,Jean,Martins,M,jean.martins@novaryn-tech.com,2023-09-11,1157,1108,FRONT-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1142,Active,jbodin,Julie,Bodin,F,julie.bodin@novaryn-tech.com,2020-04-23,,1232,CHRO,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1143,Active,groux,Gilbert,Roux,M,gilbert.roux@novaryn-tech.com,2013-07-27,1098,1148,LEAD-FA-FIN,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1144,Active,tbriand,Timothée,Briand,M,timothee.briand@novaryn-tech.com,2016-09-15,1003,1142,SR-PM-PROD,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1145,Active,abernard,Amélie,Bernard,F,amelie.bernard@novaryn-tech.com,2017-09-03,1218,1134,SR-PM-PROD,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1146,Inactive,cdiaz,Christophe,Diaz,M,christophe.diaz@novaryn-tech.com,2016-06-15,1083,1114,SR-SCRM-PROD,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1147,Inactive,ctraore,Corinne,Traore,F,corinne.traore@novaryn-tech.com,2019-07-08,1165,1060,LEAD-CSM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1148,Active,pguilbert,Pénélope,Guilbert,F,penelope.guilbert@novaryn-tech.com,2012-03-01,1084,1064,LEAD-HRBP-HR,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1149,Active,bsanchez,Bertrand,Sanchez,M,bertrand.sanchez@novaryn-tech.com,2023-10-03,1112,1172,AM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1150,Active,dmorvan,Denis,Morvan,M,denis.morvan@novaryn-tech.com,2012-08-11,1103,1114,SR-UX-PROD,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1151,Active,jguillon,Julien,Guillon,M,julien.guillon@novaryn-tech.com,2021-05-26,1171,1167,SR-DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1152,Active,dperret,David,Perret,M,david.perret@novaryn-tech.com,2014-03-02,1189,1048,LEAD-UX-PROD,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1153,Active,alegall,Alphonse,Le Gall,M,alphonse.legall@novaryn-tech.com,2018-03-15,1070,1172,SR-SCRM-PROD,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1154,Active,apelletier,Alice,Pelletier,F,alice.pelletier@novaryn-tech.com,2015-07-29,1033,1167,LEAD-BRAND-MKT,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1155,Active,zmenard,Zacharie,Menard,M,zacharie.menard@novaryn-tech.com,2023-05-07,1176,1232,SR-PO-PROD,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1156,Active,bmonnier,Bernard,Monnier,M,bernard.monnier@novaryn-tech.com,2025-04-09,1238,1148,INFRA-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1157,Active,rcordier,Roger,Cordier,M,roger.cordier@novaryn-tech.com,2022-07-23,1007,1232,LEAD-FULL-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1158,Active,cgomez,Colette,Gomez,F,colette.gomez@novaryn-tech.com,2014-10-06,1050,1048,SR-PMM-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1159,Terminated,epasquier,Emmanuel,Pasquier,M,emmanuel.pasquier@novaryn-tech.com,2012-06-03,1091,1232,LEAD-FULL-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1160,Active,egallet,Emmanuel,Gallet,M,emmanuel.gallet@novaryn-tech.com,2017-08-26,1153,1064,CONF-PMM-MKT,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1161,Active,olaroche,Olivie,Laroche,F,olivie.laroche@novaryn-tech.com,2024-07-03,1172,1003,SR-TA-HR,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1162,Active,gdacosta,Gérard,Da Costa,M,gerard.dacosta@novaryn-tech.com,2014-09-16,1052,1104,LEAD-PM-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1163,Active,cweber,Catherine,Weber,F,catherine.weber@novaryn-tech.com,2012-08-28,1243,1104,CONF-CSM-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1164,Terminated,nlouis,Noël,Louis,M,noel.louis@novaryn-tech.com,2015-05-25,1021,1108,SR-CONT-MKT,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1165,Active,mmarty,Michel,Marty,M,michel.marty@novaryn-tech.com,2017-03-11,1009,1172,LEAD-PO-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1166,Active,ghubert,Gabriel,Hubert,M,gabriel.hubert@novaryn-tech.com,2012-05-27,1011,1148,CONF-DEVOPS-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1167,Inactive,volivier,Vincent,Olivier,M,vincent.olivier@novaryn-tech.com,2018-10-11,1057,1114,LEAD-PAYROLL-OP,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1168,Active,mlopes,Margot,Lopes,F,margot.lopes@novaryn-tech.com,2013-03-07,1155,1172,LEAD-CSM-SALES,Commercial,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1169,Active,gmarty,Guillaume,Marty,M,guillaume.marty@novaryn-tech.com,2022-11-30,1197,1161,DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1170,Inactive,dalexandre,Dominique,Alexandre,F,dominique.alexandre@novaryn-tech.com,2023-07-24,1243,1060,CONF-SECU-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1171,Active,rremy,René,Rémy,M,rene.remy@novaryn-tech.com,2012-06-20,1008,1108,LEAD-BACK-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1172,Active,cbertin,Céline,Bertin,F,celine.bertin@novaryn-tech.com,2015-01-14,1127,1232,LEAD-HRBP-HR,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1173,Active,saubry,Stéphane,Aubry,M,stephane.aubry@novaryn-tech.com,2012-08-25,1196,1172,SR-BACK-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1174,Active,bgodard,Bernard,Godard,M,bernard.godard@novaryn-tech.com,2019-05-24,1032,1175,LEAD-SECU-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1175,Active,jchauveau,Jérôme,Chauveau,M,jerome.chauveau@novaryn-tech.com,2025-05-18,1003,1148,CONF-HRBP-HR,People & Culture,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1176,Active,mnguyen,Margaux,Nguyen,F,margaux.nguyen@novaryn-tech.com,2022-04-24,1071,1114,LEAD-PO-PROD,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1177,Terminated,pferreira,Pierre,Ferreira,M,pierre.ferreira@novaryn-tech.com,2018-07-21,1137,1048,SR-BD-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1178,Active,saubert,Sébastien,Aubert,M,sebastien.aubert@novaryn-tech.com,2016-05-01,1101,1003,LEAD-AM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1179,Inactive,aneveu,Amélie,Neveu,F,amelie.neveu@novaryn-tech.com,2019-06-02,1203,1043,SR-INFRA-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1180,Active,adijoux,Adélaïde,Dijoux,F,adelaide.dijoux@novaryn-tech.com,2025-09-20,1103,1104,SMGR-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1181,Active,emarchal,Élodie,Marchal,F,elodie.marchal@novaryn-tech.com,2019-05-03,1222,1108,SR-DATA-SCI,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1182,Active,achartier,Arthur,Chartier,M,arthur.chartier@novaryn-tech.com,2017-08-13,1203,1108,SR-PRE-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1183,Active,tbouvier,Thierry,Bouvier,M,thierry.bouvier@novaryn-tech.com,2023-04-15,1243,1104,CONF-INFRA-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1184,Active,cfouquet,Chantal,Fouquet,F,chantal.fouquet@novaryn-tech.com,2017-02-09,1098,1167,SR-PO-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1185,Active,pruiz,Philippe,Ruiz,M,philippe.ruiz@novaryn-tech.com,2023-05-06,1024,1003,SR-FULL-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1186,Active,lmillet,Lucas,Millet,M,lucas.millet@novaryn-tech.com,2018-11-05,1158,1064,LEAD-PRE-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1187,Active,wlenoir,William,Lenoir,M,william.lenoir@novaryn-tech.com,2014-03-01,1236,1065,LEAD-SCRM-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1188,Active,edeoliveira,Élise,De Oliveira,F,elise.deoliveira@novaryn-tech.com,2023-04-24,1215,1003,CONF-BACK-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1189,Active,mlabbe,Monique,Labbé,F,monique.labbe@novaryn-tech.com,2024-09-22,1005,1114,SR-AM-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1190,Terminated,echauvet,Emmanuel,Chauvet,M,emmanuel.chauvet@novaryn-tech.com,2021-09-06,1182,1114,BD-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1191,Active,hlebon,Henri,Lebon,M,henri.lebon@novaryn-tech.com,2021-04-27,1248,1161,CONF-BD-SALES,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1192,Leave,abailly,Adélaïde,Bailly,F,adelaide.bailly@novaryn-tech.com,2016-11-17,1119,1172,SR-INFRA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1193,Active,fperret,Françoise,Perret,F,francoise.perret@novaryn-tech.com,2025-05-14,1106,1104,AM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1194,Active,sseguin,Stéphane,Seguin,M,stephane.seguin@novaryn-tech.com,2023-02-20,1151,1134,LEAD-DEVOPS-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1195,Terminated,mturpin,Margot,Turpin,F,margot.turpin@novaryn-tech.com,2019-07-08,1201,1060,LEAD-ML-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1196,Active,mparent,Matthieu,Parent,M,matthieu.parent@novaryn-tech.com,2015-08-20,1043,1232,SR-ML-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1197,Active,preynaud,Pierre,Reynaud,M,pierre.reynaud@novaryn-tech.com,2025-07-03,1136,1148,SR-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1198,Inactive,edelmas,Émile,Delmas,M,emile.delmas@novaryn-tech.com,2013-06-10,1132,1134,CONF-ML-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1199,Active,gbuisson,Guy,Buisson,M,guy.buisson@novaryn-tech.com,2023-04-18,1209,1060,CONF-AM-SALES,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1200,Active,mmorin,Margaret,Morin,F,margaret.morin@novaryn-tech.com,2025-12-03,1238,1048,SR-DATA-SCI,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1201,Active,imaillet,Inès,Maillet,F,ines.maillet@novaryn-tech.com,2017-04-12,1063,1114,LEAD-CTRL-FIN,Finance & Administration,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1202,Active,hphilippe,Hélène,Philippe,F,helene.philippe@novaryn-tech.com,2014-07-04,1094,1114,SR-FA-FIN,Finance & Administration,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1203,Active,alambert1,Alexandre,Lambert,M,alexandre.lambert@novaryn-tech.com,2016-03-01,1083,1134,SR-FRONT-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1204,Leave,nbourdon,Noël,Bourdon,M,noel.bourdon@novaryn-tech.com,2025-01-27,1055,1064,DEVOPS-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1205,Active,apineau,Auguste,Pineau,M,auguste.pineau@novaryn-tech.com,2019-01-19,1179,1108,SR-BRAND-MKT,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1206,Active,ewagner,Élise,Wagner,F,elise.wagner@novaryn-tech.com,2023-11-05,1071,1161,QA-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1207,Leave,lcosta,Léon,Costa,M,leon.costa@novaryn-tech.com,2018-10-19,1215,1142,CONF-PRE-SALES,Commercial,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1208,Leave,jcaron,Jacqueline,Caron,F,jacqueline.caron@novaryn-tech.com,2023-02-28,1038,1003,DEVOPS-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1209,Active,ahamel,Adèle,Hamel,F,adele.hamel@novaryn-tech.com,2025-02-05,1248,1175,SR-AM-SALES,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1210,Terminated,cmerle,Catherine,Merle,F,catherine.merle@novaryn-tech.com,2019-03-26,1042,1114,CONF-PMM-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1211,Active,fschmitt,Frédéric,Schmitt,M,frederic.schmitt@novaryn-tech.com,2025-09-05,1131,1161,BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1212,Active,rbarthelemy,Raymond,Barthelemy,M,raymond.barthelemy@novaryn-tech.com,2012-11-08,1131,1043,LEAD-BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1213,Active,jriviere,Jeanne,Rivière,F,jeanne.riviere@novaryn-tech.com,2019-10-07,1194,1104,LEAD-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1214,Leave,cbarthelemy,Christiane,Barthelemy,F,christiane.barthelemy@novaryn-tech.com,2023-05-11,1115,1108,UX-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1215,Active,mfaivre,Margaud,Faivre,F,margaud.faivre@novaryn-tech.com,2019-07-13,1231,1175,SR-ML-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1216,Inactive,claunay,Claude,Launay,F,claude.launay@novaryn-tech.com,2021-04-27,1153,1148,CONF-SCRM-PROD,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1217,Active,mleroux,Maurice,Leroux,M,maurice.leroux@novaryn-tech.com,2024-08-25,1137,1065,CONF-AM-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1218,Active,nlebreton,Noël,Lebreton,M,noel.lebreton@novaryn-tech.com,2016-05-29,1209,1242,LEAD-GROWTH-MKT,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1219,Active,jdiaz,Jeanne,Diaz,F,jeanne.diaz@novaryn-tech.com,2016-09-19,1071,1134,LEAD-QA-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1220,Active,vtoussaint,Véronique,Toussaint,F,veronique.toussaint@novaryn-tech.com,2016-01-26,1046,1175,SR-PO-PROD,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1221,Active,gbesnard,Guillaume,Besnard,M,guillaume.besnard@novaryn-tech.com,2013-04-26,1065,1114,SR-FRONT-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1222,Active,ghuet,Guy,Huet,M,guy.huet@novaryn-tech.com,2016-08-15,1186,1065,LEAD-ML-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1223,Inactive,mjulien,Margaret,Julien,F,margaret.julien@novaryn-tech.com,2021-03-10,1121,1048,CONF-FRONT-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1224,Active,adossantos,Audrey,Dos Santos,F,audrey.dossantos@novaryn-tech.com,2014-07-26,1054,1148,LEAD-PO-PROD,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1225,Active,gjacob,Gabriel,Jacob,M,gabriel.jacob@novaryn-tech.com,2023-10-22,1219,1134,SR-DATA-SCI,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1226,Active,dmunoz,Denis,Munoz,M,denis.munoz@novaryn-tech.com,2015-08-22,1163,1142,LEAD-CSM-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1227,Terminated,alegros,Arthur,Legros,M,arthur.legros@novaryn-tech.com,2018-12-07,1127,1114,LEAD-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1228,Active,jallard,Jacques,Allard,M,jacques.allard@novaryn-tech.com,2019-12-05,1138,1134,SR-ADMIN-OP,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1229,Active,pbonnet,Patricia,Bonnet,F,patricia.bonnet@novaryn-tech.com,2015-07-09,1151,1060,LEAD-INFRA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1230,Active,mperrier,Marc,Perrier,M,marc.perrier@novaryn-tech.com,2025-02-04,1162,1043,SR-SCRM-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1231,Active,sgrenier,Stéphane,Grenier,M,stephane.grenier@novaryn-tech.com,2012-05-01,1072,1175,LEAD-ML-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1232,Active,mmartel,Monique,Martel,F,monique.martel@novaryn-tech.com,2012-02-06,1055,1242,CONF-PAYROLL-OP,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1233,Active,jleger,Joseph,Léger,M,joseph.leger@novaryn-tech.com,2024-10-25,1071,1161,ML-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1234,Active,lhumbert,Léon,Humbert,M,leon.humbert@novaryn-tech.com,2021-02-26,1213,1134,CONF-FRONT-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1235,Active,gcoulon,Geneviève,Coulon,F,genevieve.coulon@novaryn-tech.com,2015-09-25,1168,1043,LEAD-ML-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1236,Active,gnguyen,Grégoire,Nguyen,M,gregoire.nguyen@novaryn-tech.com,2020-04-05,1222,1064,CONF-FRONT-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1237,Active,aperrier1,Alix,Perrier,F,alix.perrier@novaryn-tech.com,2017-09-19,1085,1104,SR-FRONT-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1238,Active,oramos,Océane,Ramos,F,oceane.ramos@novaryn-tech.com,2014-10-22,1063,1167,LEAD-SECU-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1239,Active,nrodriguez,Nicolas,Rodriguez,M,nicolas.rodriguez@novaryn-tech.com,2022-08-02,1212,1064,CONF-PRE-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1240,Active,acarlier,Alexandrie,Carlier,F,alexandrie.carlier@novaryn-tech.com,2022-01-25,1086,1065,SR-DEVOPS-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1241,Active,rdupre,Roland,Dupré,M,roland.dupre@novaryn-tech.com,2012-06-17,1016,1175,CONF-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1242,Leave,aweiss,Aurélie,Weiss,F,aurelie.weiss@novaryn-tech.com,2019-04-17,1146,1065,LEAD-HRBP-HR,People & Culture,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1243,Active,cpinto,Christiane,Pinto,F,christiane.pinto@novaryn-tech.com,2015-02-03,1146,1043,LEAD-SECU-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1244,Active,abertin,André,Bertin,M,andre.bertin@novaryn-tech.com,2018-06-13,1059,1172,SR-DATA-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1245,Active,mlecomte,Marguerite,Lecomte,F,marguerite.lecomte@novaryn-tech.com,2019-09-26,1095,1104,SR-BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1246,Active,mmarques,Marguerite,Marques,F,marguerite.marques@novaryn-tech.com,2024-12-13,1052,1065,FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1247,Active,mlopes1,Monique,Lopes,F,monique.lopes@novaryn-tech.com,2024-10-16,1205,1048,CONT-MKT,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1248,Active,mfleury,Marc,Fleury,M,marc.fleury@novaryn-tech.com,2013-05-23,1024,1167,LEAD-PRE-SALES,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1249,Active,nmoreau,Noël,Moreau,M,noel.moreau@novaryn-tech.com,2024-09-28,1208,1161,BACK-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1250,Terminated,rroux,Richard,Roux,M,richard.roux@novaryn-tech.com,2017-12-14,1139,1175,LEAD-BRAND-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
